NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
BAJA CALIFORNIA SUR,BAJO DEL TETIS,"BAJO DEL TETIS, MEXICO",-99.1444426,19.2922459,"tetis, coapa, ciudad de méxico, cdmx, mexico"
BAJA CALIFORNIA SUR,BAJO MORGAN,"BAJO MORGAN, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BANDERITAS,"BANDERITAS, MEXICO",-112.111613,24.872432,"23743 banderitas, b.c.s., mexico"
BAJA CALIFORNIA SUR,BARRIO LA PLAYA,"BARRIO LA PLAYA, MEXICO",-98.3444863,21.2825534,"92136 la playa, ver., mexico"
BAJA CALIFORNIA SUR,BOCA DE ALAMO,"BOCA DE ALAMO, MEXICO",-109.8045592,23.8933616,"boca del álamo, 23320 la trinadad, b.c.s., mexico"
BAJA CALIFORNIA SUR,BOCA DEL TULE,"BOCA DEL TULE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BOCA LA SOLEDAD,"BOCA LA SOLEDAD, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BOCA LAS ANIMAS,"BOCA LAS ANIMAS, MEXICO",-103.2265939,22.2144983,"46245 las ánimas, jal., mexico"
BAJA CALIFORNIA SUR,BOCA SANTO DOMINGO,"BOCA SANTO DOMINGO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA SUR,BOCANA DE SAN VENANCIO,"BOCANA DE SAN VENANCIO, MEXICO",-112.4347001,27.0901509,"23913 san venancio, b.c.s., mexico"
BAJA CALIFORNIA SUR,CABO TOSCO,"CABO TOSCO, MEXICO",-111.7117283,24.3100061,"faro cabo tosco, 23750 b.c.s., mexico"
BAJA CALIFORNIA SUR,CABO VIRGENES,"CABO VIRGENES, MEXICO",-116.9231158,32.4877103,"cabo vírgenes, guaycura, 22216 tijuana, b.c., mexico"
BAJA CALIFORNIA SUR,CAMPITO EL TAVO,"CAMPITO EL TAVO, MEXICO",-114.780559,27.804893,"23952 el tavo, b.c.s., mexico"
BAJA CALIFORNIA SUR,CHESTER,"CHESTER, MEXICO",NA,NA,NA
BAJA CALIFORNIA SUR,EL CHAPARRITO,"EL CHAPARRITO, MEXICO",-100.6133212,19.6207413,"el chaparro, michoacán, mexico"
BAJA CALIFORNIA SUR,OJO DE LIEBRE,"OJO DE LIEBRE, MEXICO",-114.0474499,27.7733047,"23940 ojo de liebre, b.c.s., mexico"
BAJA CALIFORNIA SUR,ENMEDIO,"ENMEDIO, MEXICO",-110.3666671,29.5666669,"84905 enmedio, son., mexico"
BAJA CALIFORNIA SUR,ISLA CERRALVO,"ISLA CERRALVO, MEXICO",-109.8901427,24.2341349,"isla cerralvo, baja california sur, mexico"
BAJA CALIFORNIA SUR,PUNTA EUGENIA,"PUNTA EUGENIA, MEXICO",-115.0819803,27.848089,"punta eugenia, 23952 bcs, mexico"
BAJA CALIFORNIA SUR,SAN CARLOS,"SAN CARLOS, MEXICO",-111.0370989,27.9617875,"85506 san carlos nuevo guaymas, sonora, mexico"
